OrderId,CustomerId,ReadyDateTimeInfo,LocationInfo,DeliveryDateTime,EmployeeIdOfDriver,IsOffSite,ManagerNote,NumPeople,PricePerPerson,PriceAdjust,DeliveryFee,MiscFee,ServiceFeePercent,TaxPriceAdjust,NumPizzaPeople,NumSaladPeople,NumDessertPeople,PricePerPizzaPerson,PricePerSaladPerson,PricePerDessertPerson,DoughCount,DressingCount,DessertCount,KitchenPrepNote,DessertNote,LSENote
229192,103,ZACK,UF ORTHO 34th Street,2023-02-09 17:00:03.5860000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,25.00,25.00,0.00,9.00,3.00,2.50,7,2,,,,
229210,221,GRACY,Law School,2023-02-09 11:15:27.5980000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,25.00,25.00,25.00,9.00,3.00,2.50,7,,60,,Brownies and Bonbons,
229213,50,ZACK  WADE HAS CC INFO,HOUGH HALL,2023-02-08 19:15:36.4130000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,40.00,40.00,0.00,9.00,3.00,2.50,12,3,,2 salad trays please,,
230334,222,WADE DELETE THIS PLEASE,40 people - Pizza Only,2023-02-17 20:15:27.4600000,NULL,0,,0.00,0.00,0.00,0.00,200.00,20.00,0,40.00,0.00,0.00,9.00,3.00,2.50,12,0,,,,GUESTS BUY THEIR OWN DRINKS
231719,223,BRIAN,UF across the street,2023-02-21 11:05:24.8520000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,30.00,30.00,0.00,9.00,3.00,2.50,10,2,,,,
231720,170,BRIAN,Harrell Medical Bldg,2023-02-22 11:00:25.1360000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,50.00,0.00,0.00,9.00,3.00,2.50,13,,,NO SALAD PIZZA ONLY,,
231721,224,GRACY,720 BLDG,2023-02-22 11:20:56.4550000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,30.00,30.00,0.00,9.00,3.00,2.50,11,,,,,
231813,225,PICK UP @5:30,407-399-4196,2023-02-16 17:30:09.5100000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,32.22,0.00,0.00,9.00,3.00,2.50,,,,"PIZZAS ONLY ",,
232093,23,BRIAN,Austin Carey,2023-02-23 11:10:01.5060000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,30.00,30.00,30.00,9.00,3.00,2.50,9,2,,,,
232109,83,BRIAN,Florida Gym,2023-02-24 11:15:48.2010000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,125.00,0.00,0.00,9.00,3.00,2.50,,,,NO SALAD PIZZA ONLY,,
233700,217,BRIAN,McKnight Brain,2023-02-23 12:15:49.7940000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,20.00,20.00,20.00,9.00,3.00,2.50,5,1,45,,Bonbons and Brownies,
234105,89,Project Makeover,UTP and Party Booth,2023-02-25 20:00:03.4960000,NULL,0,,0.00,0.00,0.00,0.00,100.00,20.00,0,30.00,30.00,0.00,9.00,3.00,2.50,8,2,,,,Guests buy own drinks
234752,226,ZACK?,Newell,2023-03-01 16:45:38.6220000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,40.00,40.00,0.00,9.00,3.00,2.50,11,2,,,,
236073,217,BRIAN,Newell McKnight,2023-03-02 12:15:39.4720000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,20.00,20.00,20.00,9.00,3.00,2.50,6,2,45,,Bonbons and Brownies,
238675,227,Brian,,2023-03-09 11:15:54.8600000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,25.00,25.00,0.00,9.00,3.00,2.50,7,2,,,,
239123,228,Gracy,Norman Hall,2023-03-10 11:25:01.8390000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,40.00,40.00,0.00,9.00,3.00,2.50,11,2,,,,
241720,231,THIS DID NOT HAPPEN,GO AWAY GO AWAY,2023-03-24 19:30:47.3910000,NULL,0,,0.00,0.00,0.00,0.00,275.00,20.00,0,40.00,40.00,40.00,9.00,3.00,2.50,11,3,90,,,
243481,230,RHOIDS & PI KAPPS,UNDER THE PLANE,2023-03-25 20:00:22.9340000,NULL,0,,0.00,0.00,0.00,0.00,100.00,20.00,0,23.00,23.00,0.00,9.00,3.00,2.50,9,2,,,,GUESTS PURCHASE OWN DRINKS
245929,162,Brian,UF Newell,2023-03-30 12:15:58.9330000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,20.00,20.00,20.00,9.00,3.00,2.50,6,,40,,,
246276,221,Brian,Law School,2023-03-31 11:30:26.4100000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,25.00,25.00,25.00,9.00,3.00,2.50,7,2,50,,Bonbons and Brownies,
246280,232,BRIAN,STADIUM ROAD,2023-03-31 12:15:59.3170000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,25.00,25.00,0.00,9.00,3.00,2.50,7,2,,,,
246286,103,ZACK?!?!?,First Magnitude,2023-04-05 18:00:08.6210000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,50.00,50.00,0.00,9.00,3.00,2.50,14,6,,,,
247121,233,ZACK?!?!?!?,J SCHOOL,2023-04-04 17:30:17.9610000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,30.00,30.00,0.00,9.00,3.00,2.50,9,2,,,,
248317,217,Brian/Gracy,Newell - McKnight,2023-04-06 12:15:43.5350000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,25.00,25.00,25.00,9.00,3.00,2.50,7,2,50,,Oatmeal cookies and bonbons only - wanted vegan and gluten free THANKS,
248632,234,Chris?Aiden?Wade?Amanda?HELP!,BOXCAR at DEPOT,2023-04-08 16:00:54.5340000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,60.00,60.00,0.00,9.00,3.00,2.50,20,6,,E HAS PAYMENT INFO,E HAS PAYMENT INFO,
249306,238,PICK UP,,2023-04-15 11:15:03.4710000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,25.00,25.00,0.00,9.00,3.00,2.50,9,2,,,,
251250,236,PICK UP,CASH OUT DUE FROM DD,2023-04-14 17:45:38.5310000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,14.50,0.00,0.00,9.00,3.00,2.50,4,,,,,
251336,237,BRIAN,WEIMER HALL,2023-04-14 11:15:55.4480000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,14.00,0.00,0.00,10.00,3.00,2.50,6,,,NO SALAD,,
